Map,Level,Algorithm,Node generated,Step,Time (s),Memory (MB)
MINI COSMOS,1,BFS,378,37,0.002001,0.042969
MINI COSMOS,2,BFS,1445,60,0.005692,0.253906
MINI COSMOS,3,BFS,2658,69,0.010998,0.476562
MINI COSMOS,4,BFS,893,71,0.002999,0.359375
MINI COSMOS,5,BFS,5830,104,0.021001,0.886719
MINI COSMOS,6,BFS,17258,99,0.080546,2.371094
MINI COSMOS,7,BFS,4520,61,0.016978,1.851562
MINI COSMOS,8,BFS,13791,93,0.067349,2.492188
MINI COSMOS,9,BFS,2321,85,0.009995,1.839844
MINI COSMOS,10,BFS,6555,102,0.023005,1.992188
MINI COSMOS,11,BFS,5321,74,0.015882,2.109375
MINI COSMOS,12,BFS,28398,112,0.119008,3.507812
MINI COSMOS,13,BFS,13616,80,0.041593,3.593750
MINI COSMOS,14,BFS,92405,121,0.427948,10.218750
MINI COSMOS,15,BFS,4945,82,0.015346,8.109375
MINI COSMOS,16,BFS,13018,114,0.045047,8.808594
MINI COSMOS,17,BFS,3381,65,0.010232,8.207031
MINI COSMOS,18,BFS,10859,110,0.033744,8.238281
MINI COSMOS,19,BFS,5722,72,0.015003,8.238281
MINI COSMOS,20,BFS,17955,112,0.077217,8.742188
MINI COSMOS,21,BFS,6192,71,0.043549,8.210938
MINI COSMOS,22,BFS,14535,99,0.044600,8.738281
MINI COSMOS,23,BFS,21941,99,0.090197,8.753906
MINI COSMOS,24,BFS,166311,177,0.601922,16.097656
MINI COSMOS,25,BFS,5917,81,0.018915,14.167969
MINI COSMOS,26,BFS,24340,133,0.087329,14.500000
MINI COSMOS,27,BFS,7338,103,0.021002,14.007812
MINI COSMOS,28,BFS,28449,189,0.112622,14.542969
MINI COSMOS,29,BFS,4976,58,0.015998,13.800781
MINI COSMOS,30,BFS,40421,168,0.134989,14.496094
MINI COSMOS,31,BFS,1239,74,0.003979,13.937500
MINI COSMOS,32,BFS,1342,91,0.004045,13.937500
MINI COSMOS,33,BFS,7444,94,0.028651,14.113281
MINI COSMOS,34,BFS,10390,101,0.037987,14.253906
MINI COSMOS,35,BFS,2119,88,0.007940,14.253906
MINI COSMOS,36,BFS,4823,72,0.018290,13.937500
MINI COSMOS,37,BFS,4914,96,0.019041,13.957031
MINI COSMOS,38,BFS,5819,50,0.018410,13.957031
MINI COSMOS,39,BFS,12557,100,0.045136,14.519531
MINI COSMOS,40,BFS,4625,84,0.018001,13.761719
MICRO COSMOS,1,BFS,54490,49,0.191110,15.550781
MICRO COSMOS,2,BFS,778499,211,3.188802,74.386719
MICRO COSMOS,3,BFS,16620,123,0.062020,62.035156
MICRO COSMOS,4,BFS,84236,107,0.305246,57.667969
MICRO COSMOS,5,BFS,1041482,116,4.904136,115.824219
MICRO COSMOS,6,BFS,163865,65,0.657726,95.503906
MICRO COSMOS,7,BFS,9852,110,0.033820,73.460938
MICRO COSMOS,8,BFS,53322,89,0.180053,55.308594
MICRO COSMOS,9,BFS,287450,209,1.197730,53.285156
MICRO COSMOS,10,BFS,28837,117,0.106500,31.898438
MICRO COSMOS,11,BFS,156675,125,0.646281,33.582031
MICRO COSMOS,12,BFS,108386,67,0.432980,30.054688
MICRO COSMOS,13,BFS,19855,128,0.077264,26.863281
MICRO COSMOS,14,BFS,153686,164,0.635762,28.960938
MICRO COSMOS,15,BFS,361288,139,1.454626,36.601562
MICRO COSMOS,16,BFS,366858,119,1.498721,39.484375
MICRO COSMOS,17,BFS,900689,188,3.968079,93.429688
MICRO COSMOS,18,BFS,113525,147,0.490244,80.148438
MICRO COSMOS,19,BFS,927057,124,4.722684,101.722656
MICRO COSMOS,20,BFS,106522,146,0.378020,87.351562
MICRO COSMOS,21,BFS,145805,185,0.642606,81.796875
MICRO COSMOS,22,BFS,1412851,170,6.609191,145.273438
MICRO COSMOS,23,BFS,17929,91,0.064968,122.535156
MICRO COSMOS,24,BFS,580177,165,2.794058,103.875000
MICRO COSMOS,25,BFS,201502,130,0.800992,73.402344
MICRO COSMOS,26,BFS,663258,176,3.138155,73.097656
MICRO COSMOS,27,BFS,116258,234,0.486825,60.816406
MICRO COSMOS,28,BFS,4907,73,0.014979,58.687500
MICRO COSMOS,29,BFS,8138,83,0.024952,58.687500
MICRO COSMOS,30,BFS,91038,161,0.329375,59.550781
MICRO COSMOS,31,BFS,12878,101,0.048284,55.921875
MICRO COSMOS,32,BFS,20189,82,0.071161,50.300781
MICRO COSMOS,33,BFS,77061,173,0.282394,45.312500
MICRO COSMOS,34,BFS,57606,100,0.217346,41.734375
MICRO COSMOS,35,BFS,34148,70,0.130371,37.328125
MICRO COSMOS,36,BFS,59507,98,0.214674,37.796875
MICRO COSMOS,37,BFS,181267,184,0.711816,36.710938
MICRO COSMOS,38,BFS,171579,188,0.707731,33.203125
MICRO COSMOS,39,BFS,32836,151,0.136111,26.437500
MICRO COSMOS,40,BFS,19363,150,0.070607,22.105469
